# Auto-generated Opening Book
# Max opening moves: 10
# Format: sequence -> move (score) [depth]
# Generated entries: 1867

 -> 33 (5000) [1]
33 -> 14 (4000) [1]
11 -> 33 (4500) [1]
12 -> 33 (4500) [1]
13 -> 33 (4500) [1]
22 -> 33 (4500) [1]
23 -> 33 (4500) [1]
33,12 -> 55 (4384) [5]
33,12,15 -> 13 (4452) [5]
33,12,15,14 -> 25 (4819) [5]
33,12,15,11 -> 32 (5164) [5]
33,12,15,25 -> 35 (4364) [5]
33,12,15,24 -> 52 (5059) [5]
33,12,15,23 -> 25 (2996) [5]
33,12,15,22 -> 54 (4167) [5]
33,12,15,21 -> 25 (5012) [5]
33,12,15,35 -> 25 (4762) [5]
33,12,15,34 -> 22 (10000) [5]
33,12,15,32 -> 25 (5104) [5]
33,12,15,31 -> 45 (4952) [5]
33,12,15,45 -> 43 (1992) [5]
33,12,15,44 -> 51 (4446) [5]
33,12,15,43 -> 51 (4221) [5]
33,12,15,42 -> 25 (4944) [5]
33,12,15,41 -> 52 (4809) [5]
33,12,15,54 -> 34 (4742) [5]
33,12,15,53 -> 25 (4809) [5]
33,12,15,52 -> 45 (4749) [5]
33,12,15,51 -> 25 (4829) [5]
33,12,14 -> 15 (4467) [5]
33,12,14,11 -> 13 (4574) [5]
33,12,14,25 -> 52 (4652) [5]
33,12,14,24 -> 34 (4544) [5]
33,12,14,23 -> 42 (5114) [5]
33,12,14,22 -> 32 (3249) [5]
33,12,14,21 -> 34 (4782) [5]
33,12,14,35 -> 52 (4734) [5]
33,12,14,34 -> 42 (10000) [5]
33,12,14,32 -> 25 (4819) [5]
33,12,14,31 -> 43 (4661) [5]
33,12,14,45 -> 34 (4404) [5]
33,12,14,44 -> 34 (3864) [5]
33,12,14,43 -> 22 (4844) [5]
33,12,14,42 -> 13 (4259) [5]
33,12,14,41 -> 45 (4447) [5]
33,12,14,54 -> 34 (4847) [5]
33,12,14,53 -> 34 (4862) [5]
33,12,14,52 -> 31 (4739) [5]
33,12,14,51 -> 52 (4937) [5]
33,12,13 -> 14 (4894) [5]
33,12,13,15 -> 25 (5412) [5]
33,12,13,25 -> 52 (5192) [5]
33,12,13,24 -> 54 (5484) [5]
33,12,13,23 -> 54 (5494) [5]
33,12,13,22 -> 51 (4886) [5]
33,12,13,21 -> 52 (5322) [5]
33,12,13,35 -> 42 (5402) [5]
33,12,13,34 -> 41 (5854) [5]
33,12,13,32 -> 54 (5084) [5]
33,12,13,31 -> 52 (5482) [5]
33,12,13,45 -> 23 (5165) [5]
33,12,13,44 -> 52 (4794) [5]
33,12,13,43 -> 41 (5746) [5]
33,12,13,42 -> 52 (4794) [5]
33,12,13,41 -> 52 (5097) [5]
33,12,13,54 -> 41 (5184) [5]
33,12,13,53 -> 41 (5347) [5]
33,12,13,52 -> 41 (5204) [5]
33,12,13,51 -> 25 (5322) [5]
33,12,11 -> 25 (4717) [5]
33,12,11,15 -> 52 (5352) [5]
33,12,11,14 -> 13 (4654) [5]
33,12,11,24 -> 52 (5399) [5]
33,12,11,23 -> 14 (3546) [5]
33,12,11,22 -> 52 (4834) [5]
33,12,11,21 -> 14 (5379) [5]
33,12,11,35 -> 52 (5172) [5]
33,12,11,34 -> 22 (10000) [5]
33,12,11,32 -> 52 (5461) [5]
33,12,11,31 -> 14 (5154) [5]
33,12,11,45 -> 34 (4649) [5]
33,12,11,44 -> 34 (4372) [5]
33,12,11,43 -> 22 (10000) [5]
33,12,11,42 -> 52 (5056) [5]
33,12,11,41 -> 14 (4592) [5]
33,12,11,54 -> 43 (5322) [5]
33,12,11,53 -> 22 (10000) [5]
33,12,11,52 -> 14 (5122) [5]
33,12,11,51 -> 52 (5467) [5]
33,12,25 -> 52 (4557) [5]
33,12,25,15 -> 35 (4452) [5]
33,12,25,14 -> 13 (4822) [5]
33,12,25,13 -> 14 (5192) [5]
33,12,25,11 -> 14 (5077) [5]
33,12,25,24 -> 22 (4856) [5]
33,12,25,23 -> 22 (4986) [5]
33,12,25,22 -> 24 (4094) [5]
33,12,25,21 -> 22 (4909) [5]
33,12,25,35 -> 22 (19096) [5]
33,12,25,34 -> 22 (16768) [5]
33,12,25,32 -> 53 (10000) [5]
33,12,25,31 -> 15 (4947) [5]
33,12,25,45 -> 23 (5050) [5]
33,12,25,44 -> 32 (4374) [5]
33,12,25,43 -> 22 (16418) [5]
33,12,25,42 -> 54 (4439) [5]
33,12,25,41 -> 22 (4769) [5]
33,12,25,54 -> 31 (4284) [5]
33,12,25,53 -> 22 (4449) [5]
33,12,25,51 -> 14 (4889) [5]
33,12,24 -> 34 (4796) [5]
33,12,24,15 -> 52 (4956) [5]
33,12,24,14 -> 13 (4941) [5]
33,12,24,13 -> 25 (5489) [5]
33,12,24,11 -> 52 (4801) [5]
33,12,24,25 -> 22 (4466) [5]
33,12,24,23 -> 52 (5783) [5]
33,12,24,22 -> 31 (10000) [5]
33,12,24,21 -> 22 (4771) [5]
33,12,24,35 -> 52 (4826) [5]
13,33 -> 12 (4817) [5]
13,33,51 -> 23 (10000) [5]
13,33,51,44 -> 34 (10000) [5]
13,33,51,43 -> 34 (10000) [5]
13,33,51,41 -> 34 (10000) [5]
13,33,51,32 -> 34 (10000) [5]
13,33,51,31 -> 34 (10000) [5]
13,33,51,25 -> 34 (10000) [5]
