# Auto-generated Opening Book
# Max opening moves: 10
# Format: sequence -> move (score) [depth]
# Generated entries: 1474

 -> 33 (5000) [1]
33 -> 14 (4000) [1]
11 -> 33 (4500) [1]
12 -> 33 (4500) [1]
13 -> 33 (4500) [1]
22 -> 33 (4500) [1]
23 -> 33 (4500) [1]
33,23 -> 41 (-61) [6]
33,23,42 -> 45 (74) [6]
33,23,42,54 -> 11 (-259) [6]
33,23,42,54,52 -> 31 (10000) [6]
33,23,42,54,22 -> 31 (10000) [6]
33,23,42,54,25 -> 31 (10000) [6]
33,23,42,54,55 -> 31 (10000) [6]
33,23,42,54,21 -> 44 (10000) [6]
33,23,42,35 -> 54 (474) [6]
33,23,42,35,11 -> 52 (936) [6]
33,23,42,35,12 -> 52 (753) [6]
33,23,42,35,21 -> 24 (771) [6]
33,23,42,35,52 -> 22 (551) [6]
33,23,42,35,22 -> 52 (753) [6]
33,23,42,21 -> 54 (489) [6]
33,23,42,21,11 -> 52 (591) [6]
33,23,42,21,52 -> 14 (496) [6]
33,23,42,21,24 -> 22 (921) [6]
33,23,42,21,25 -> 52 (731) [6]
33,23,42,21,35 -> 24 (771) [6]
33,23,42,22 -> 52 (241) [6]
33,23,42,22,34 -> 12 (1228) [6]
33,23,42,22,12 -> 32 (753) [6]
33,23,42,22,25 -> 24 (781) [6]
33,23,42,22,35 -> 12 (1146) [6]
33,23,42,22,54 -> 25 (1073) [6]
33,23,42,25 -> 22 (146) [6]
33,23,42,25,11 -> 54 (454) [6]
33,23,42,25,55 -> 54 (454) [6]
33,23,42,25,44 -> 52 (176) [6]
33,23,42,25,14 -> 34 (176) [6]
33,23,42,25,52 -> 54 (361) [6]
33,23,22 -> 25 (434) [6]
33,23,22,15 -> 52 (666) [6]
33,23,22,15,14 -> 34 (10000) [6]
33,23,22,15,54 -> 34 (10000) [6]
33,23,22,15,12 -> 34 (10000) [6]
33,23,22,15,55 -> 34 (1131) [6]
33,23,22,15,51 -> 34 (1376) [6]
33,23,22,52 -> 15 (10000) [6]
33,23,22,52,54 -> 35 (10000) [6]
33,23,22,52,32 -> 35 (10000) [6]
33,23,22,52,42 -> 35 (10000) [6]
33,23,22,52,55 -> 35 (10000) [6]
33,23,22,52,35 -> 42 (10000) [6]
33,23,22,35 -> 52 (576) [6]
33,23,22,35,42 -> 34 (10000) [6]
33,23,22,35,51 -> 42 (10000) [6]
33,23,22,35,41 -> 34 (10000) [6]
33,23,22,35,54 -> 34 (10000) [6]
33,23,22,35,31 -> 42 (10000) [6]
33,23,22,32 -> 15 (10000) [6]
33,23,22,32,55 -> 35 (10000) [6]
33,23,22,32,51 -> 35 (10000) [6]
33,23,22,32,35 -> 13 (16715) [6]
33,23,22,32,54 -> 35 (10000) [6]
33,23,22,32,52 -> 35 (10000) [6]
33,23,22,42 -> 52 (708) [6]
33,23,22,42,41 -> 15 (10000) [6]
33,23,22,42,54 -> 34 (10000) [6]
33,23,22,42,35 -> 34 (10000) [6]
33,23,22,42,12 -> 32 (578) [6]
33,23,22,42,55 -> 34 (10000) [6]
33,23,21 -> 22 (-394) [6]
33,23,21,54 -> 24 (-1301) [6]
33,23,21,54,43 -> 32 (31) [6]
33,23,21,54,44 -> 52 (-474) [6]
33,23,21,54,32 -> 43 (-444) [6]
33,23,21,54,42 -> 32 (-889) [6]
33,23,21,54,15 -> 32 (-634) [6]
33,23,21,55 -> 45 (-189) [6]
33,23,21,55,11 -> 54 (346) [6]
33,23,21,55,52 -> 54 (424) [6]
33,23,21,55,42 -> 54 (346) [6]
33,23,21,55,44 -> 52 (581) [6]
33,23,21,55,54 -> 52 (-2297) [6]
33,23,21,45 -> 55 (-794) [6]
33,23,21,45,52 -> 44 (10000) [6]
33,23,21,45,12 -> 44 (10000) [6]
33,23,21,45,44 -> 15 (-199) [6]
33,23,21,45,42 -> 44 (10000) [6]
33,23,21,45,54 -> 44 (10000) [6]
33,23,21,42 -> 35 (-69) [6]
33,23,21,42,11 -> 32 (1108) [6]
33,23,21,42,55 -> 54 (46) [6]
33,23,21,42,45 -> 32 (10000) [6]
33,23,21,42,34 -> 55 (10000) [6]
33,23,21,42,44 -> 45 (-624) [6]
33,23,21,44 -> 52 (168) [6]
33,23,21,44,42 -> 25 (528) [6]
33,23,21,44,54 -> 32 (10000) [6]
33,23,21,44,45 -> 25 (10000) [6]
33,23,21,44,32 -> 25 (4813) [6]
33,23,21,44,15 -> 25 (553) [6]
33,23,22,42,34 -> 21 (10000) [6]
33,23,22,42,52 -> 21 (10000) [6]
33,23,22,42,45 -> 21 (10000) [6]
33,23,22,42,25 -> 21 (10000) [6]
33,23,22,31 -> 12 (471) [6]
33,23,22,31,14 -> 52 (496) [6]
33,23,22,31,15 -> 14 (10000) [6]
33,23,22,31,25 -> 24 (496) [6]
33,23,22,31,35 -> 14 (10000) [6]
33,23,22,31,52 -> 14 (10000) [6]
33,23,22,34 -> 31 (10000) [6]
33,23,22,34,52 -> 21 (10000) [6]
33,23,22,34,14 -> 21 (10000) [6]
33,23,22,34,51 -> 21 (10000) [6]
33,23,22,34,25 -> 21 (10000) [6]
33,23,22,34,42 -> 21 (10000) [6]
33,23,22,52,51 -> 21 (10000) [6]
33,23,22,52,25 -> 21 (10000) [6]
33,23,22,25 -> 24 (1511) [6]
33,23,22,25,52 -> 31 (10000) [6]
